ID,Name,Description,Price,Keywords,"Average Rating",Comments,Images,Pokemon,Location
1,"Bebek Goreng","Crispy Fried Duck with Sambal",8.99,Goreng,8.8,,https://cf.shopee.co.id/file/210cea52729b87cb13c82630e286e613,Pikachu,Tokyo
2,"Bebek Betutu","Balinese Duck with Sambal Matah",13.99,"Spicy, Balinese, Matah",10,,https://www.masakapahariini.com/wp-content/uploads/2021/07/Bebek-Betutu-rumah-makan-Bali.jpg,Squirtle,Jakarta
3,"Bebek Madura","Maduranese Style Duck with Toasted Coconuts and Sambal",8.99,"Savory, Madura, Maduranese",9.5,,https://www.finnafood.com/blog/wp-content/uploads/2023/10/13.-Resep-Bebek-Madura-Bumbu-Hitam-Pedas-Gurih.jpg,Bulbasaur,Seoul
4,"Bebek Kuwali","Spicy and Sour-based Javanese Duck",10.99,"Spicy, Sour, Javanese",9.3,,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/dbd30f5c-0411-4827-bca8-33e0f98716be_Go-Biz_20200906_135120.jpeg,Clodsire,Shanghai
5,"Bebek Bacem","Dry-based Sweetened Javanese Duck with Fresh Vegetables",9.99,"Sweet, Dry, Javanese",8.8,,https://www.dapurkobe.co.id/wp-content/uploads/bebek-bacem-bakar-kecap.jpg,Ditto,Tucson
6,"Bebek Garo Rica","Spicy Rica-Rica Ducks fresh from Manado",11.99,"Spicy, Manado, Rica-rica",9.8,,https://www.primarasa.co.id/images/images/Bebek%20Garo%20Rica%20Resep%281%29.jpg,Quagsire,Bangkok
7,"Bebek Padang","Savory and spicy Minang style duck",10.99,"Savory, Spicy, Minang, Padang",9.4,,https://images.tokopedia.net/img/cache/700/VqbcmM/2020/9/3/a399365b-ae64-4778-9c62-b664b5be2513.jpg,Wooper,Saigon
8,"Bebek Timbungan","Balinese Duck served in Bamboo",18.99,"Balinese, Fresh, Savory, Bamboo",9.2,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi6N7bH3eSjXnHbVkG25b61i4SUNWIIE1sgg&s,Mewtwo,"Phnom Penh"
9,"Bebek Songkem","Spicy steamed duck steamed from bamboo leaves",12.99,"Spicy, Steamed Bamboo",9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6tEQrm2qPzYSYuRUViJFTa3-2NBXWjnGX1A&s,Persian,"New York"
10,"Soto Bebek","Bebek Served in Indonesian Soto",8.99,Soto,9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUFNSb9AAfihrAnwoEbRIKXFxtLjIigaLO7p0Pjhl1tpXNnmpFmAlpNUeTGiTG6wSxSHY&usqp=CAU,Beedrill,"Sao Paulo"
11,"Nasi Goreng Bebek","Nasi Goreng with Duck",10.99,"Nasi Goreng, Fried Rice",8.9,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.kompas.com%2Ffood%2Fread%2F2023%2F01%2F06%2F210300575%2Fresep-nasi-goreng-bebek-gurih-dan-nikmat&psig=AOvVaw0dAF3QVIxQyCjrXJqANAzV&ust=1743559056453000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPDvgeTdtYwDFQAAAAAdAAAAABAE,Charizard,Rome
12,"Bebek Palekko","Spicy duck served with ketupat",13.99,"Spicy, Ketupat",8,,https://img.kurio.network/u6GS4ISxXjdtHr9KtISb6_z1mFw=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/11/09/8abb659e-d2f0-4a05-82cd-3387b3ce198c.jpe,Venusaur,Madrid
13,"Bebek Sinjay","Spicy-mango Maduranese duck",14.99,"Spicy, Mango, Madura, Maduranese",9.1,,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/74/2023/10/31/WhatsApp-Image-2023-10-31-at-103610-922638482.jpeg,Metapod,Berlin
14,"Bebek Bakar","Grilled Duck",9.99,Grilled,8.7,,https://sultantv.co/wp-content/uploads/2023/03/e21c65a0dbb9d7d1fd5ba98374a4fe64.png,Butterfree,Paris
